product_id,product_name,category,type,price,stock_quantity,purchase_status,quantity_bought,amount_spent,last_purchase_date
10009,StyleX Express,Hair Care,Hair Straightener,44.99,130,Purchased,2,89.98,2025-07-18
10005,HeatWave Mini,Hair Care,Hair Straightener,39.95,150,Purchased,5,199.75,2025-06-25
10004,ShinyLocks 360,Hair Care,Hair Straightener,89.00,80,Purchased,1,89.00,2025-05-15
10005,HeatWave Mini,Hair Care,Hair Straightener,39.95,150,Purchased,4,159.80,2025-05-10
10002,GlamStyle Max,Hair Care,Hair Straightener,69.99,100,Purchased,7,489.93,2025-04-26
10007,ProStyle Titan,Hair Care,Hair Straightener,79.90,95,Purchased,9,719.10,2025-04-20
10009,StyleX Express,Hair Care,Hair Straightener,44.99,130,Purchased,8,359.92,2025-04-18
10009,StyleX Express,Hair Care,Hair Straightener,44.99,130,Purchased,2,89.98,2025-04-05
10010,Infinity Gloss Pro,Hair Care,Hair Straightener,109.99,60,Purchased,10,1099.90,2025-03-26
10006,LuxeCurl Ultra,Hair Care,Hair Straightener,99.95,75,Purchased,5,499.75,2025-03-16
10009,StyleX Express,Hair Care,Hair Straightener,44.99,130,Purchased,6,269.94,2025-03-11
10002,GlamStyle Max,Hair Care,Hair Straightener,69.99,100,Purchased,9,629.91,2025-03-10
10005,HeatWave Mini,Hair Care,Hair Straightener,39.95,150,Purchased,1,39.95,2025-03-05
10005,HeatWave Mini,Hair Care,Hair Straightener,39.95,150,Purchased,1,39.95,2025-02-15
10005,HeatWave Mini,Hair Care,Hair Straightener,39.95,150,Purchased,8,319.60,2025-02-04
10001,SilkSmooth Pro,Hair Care,Hair Straightener,59.99,120,Purchased,4,239.96,2025-01-30
10010,Infinity Gloss Pro,Hair Care,Hair Straightener,109.99,60,Purchased,1,109.99,2024-12-30
10007,ProStyle Titan,Hair Care,Hair Straightener,79.90,95,Purchased,4,319.60,2024-12-28
10001,SilkSmooth Pro,Hair Care,Hair Straightener,59.99,120,Purchased,7,419.93,2024-12-19
10010,Infinity Gloss Pro,Hair Care,Hair Straightener,109.99,60,Purchased,6,659.94,2024-12-16
10001,SilkSmooth Pro,Hair Care,Hair Straightener,59.99,120,Purchased,7,419.93,2024-12-03
10005,HeatWave Mini,Hair Care,Hair Straightener,39.95,150,Purchased,10,399.50,2024-11-12
10001,SilkSmooth Pro,Hair Care,Hair Straightener,59.99,120,Purchased,9,539.91,2024-11-09
10003,CurlTamer X2,Hair Care,Hair Straightener,49.50,90,Purchased,2,99.00,2024-11-06
10002,GlamStyle Max,Hair Care,Hair Straightener,69.99,100,Purchased,1,69.99,2024-10-11
10004,ShinyLocks 360,Hair Care,Hair Straightener,89.00,80,Purchased,5,445.00,2024-09-26
10008,SmoothMaster Elite,Hair Care,Hair Straightener,59.95,110,Purchased,9,539.55,2024-09-04
10001,SilkSmooth Pro,Hair Care,Hair Straightener,59.99,120,Purchased,5,299.95,2024-08-21
10009,StyleX Express,Hair Care,Hair Straightener,44.99,130,Purchased,5,224.95,2024-08-19
10002,GlamStyle Max,Hair Care,Hair Straightener,69.99,100,Purchased,2,139.98,2024-08-16
10005,HeatWave Mini,Hair Care,Hair Straightener,39.95,150,Purchased,7,279.65,2024-08-01
10005,HeatWave Mini,Hair Care,Hair Straightener,39.95,150,Purchased,2,79.90,2024-07-19
10003,CurlTamer X2,Hair Care,Hair Straightener,49.50,90,Purchased,3,148.50,2024-07-14
10003,CurlTamer X2,Hair Care,Hair Straightener,49.50,90,Purchased,8,396.00,2024-07-07
10010,Infinity Gloss Pro,Hair Care,Hair Straightener,109.99,60,Purchased,5,549.95,2024-07-05
10009,StyleX Express,Hair Care,Hair Straightener,44.99,130,Purchased,10,449.90,2024-07-05
10009,StyleX Express,Hair Care,Hair Straightener,44.99,130,Purchased,2,89.98,2024-06-21
10007,ProStyle Titan,Hair Care,Hair Straightener,79.90,95,Purchased,10,799.00,2024-05-31
10007,ProStyle Titan,Hair Care,Hair Straightener,79.90,95,Purchased,8,639.20,2024-05-29
10004,ShinyLocks 360,Hair Care,Hair Straightener,89.00,80,Purchased,6,534.00,2024-03-20
10001,SilkSmooth Pro,Hair Care,Hair Straightener,59.99,120,Purchased,5,299.95,2024-03-06
10003,CurlTamer X2,Hair Care,Hair Straightener,49.50,90,Purchased,5,247.50,2024-02-13
10002,GlamStyle Max,Hair Care,Hair Straightener,69.99,100,Purchased,10,699.90,2024-02-09
10006,LuxeCurl Ultra,Hair Care,Hair Straightener,99.95,75,Purchased,6,599.70,2023-12-23
10003,CurlTamer X2,Hair Care,Hair Straightener,49.50,90,Purchased,5,247.50,2023-12-12
10006,LuxeCurl Ultra,Hair Care,Hair Straightener,99.95,75,Purchased,5,499.75,2023-12-07
10004,ShinyLocks 360,Hair Care,Hair Straightener,89.00,80,Purchased,5,445.00,2023-11-04
10006,LuxeCurl Ultra,Hair Care,Hair Straightener,99.95,75,Purchased,4,399.80,2023-10-29
10002,GlamStyle Max,Hair Care,Hair Straightener,69.99,100,Purchased,9,629.91,2023-10-03
10007,ProStyle Titan,Hair Care,Hair Straightener,79.90,95,Purchased,10,799.00,2023-10-02
